date;time;depth;light;temperature;speed
05/01/2002;11:32:00;;;;
05/01/2002;11:32:05;;;;
05/01/2002;11:32:10;;;;
05/01/2002;11:32:15;;;;
05/01/2002;11:32:20;;;;
05/01/2002;11:32:25;;;;
05/01/2002;11:32:30;;;;
05/01/2002;11:32:35;;;;
05/01/2002;11:32:40;;;;
05/01/2002;11:32:45;;;;
05/01/2002;11:32:50;;;;
05/01/2002;11:32:55;;;;
05/01/2002;11:33:00;;;;
05/01/2002;11:33:05;;;;
05/01/2002;11:33:10;;;;
05/01/2002;11:33:15;;;;
05/01/2002;11:33:20;;;;
05/01/2002;11:33:25;;;;
05/01/2002;11:33:30;;;;
05/01/2002;11:33:35;;;;
05/01/2002;11:33:40;;;;
05/01/2002;11:33:45;;;;
05/01/2002;11:33:50;;;;
05/01/2002;11:33:55;;;;
05/01/2002;11:34:00;;;;
05/01/2002;11:34:05;;;;
05/01/2002;11:34:10;;;;
05/01/2002;11:34:15;;;;
05/01/2002;11:34:20;;;;
05/01/2002;11:34:25;;;;
05/01/2002;11:34:30;;;;
05/01/2002;11:34:35;;;;
05/01/2002;11:34:40;;;;
05/01/2002;11:34:45;;;;
05/01/2002;11:34:50;;;;
05/01/2002;11:34:55;;;;
05/01/2002;11:35:00;;;;
05/01/2002;11:35:05;;;;
05/01/2002;11:35:10;;;;
05/01/2002;11:35:15;;;;
05/01/2002;11:35:20;;;;
05/01/2002;11:35:25;;;;
05/01/2002;11:35:30;;;;
05/01/2002;11:35:35;;;;
05/01/2002;11:35:40;;;;
05/01/2002;11:35:45;;;;
05/01/2002;11:35:50;;;;
05/01/2002;11:35:55;;;;
05/01/2002;11:36:00;;;;
05/01/2002;11:36:05;;;;
05/01/2002;11:36:10;;;;
05/01/2002;11:36:15;;;;
05/01/2002;11:36:20;;;;
05/01/2002;11:36:25;;;;
05/01/2002;11:36:30;;;;
05/01/2002;11:36:35;;;;
05/01/2002;11:36:40;;;;
05/01/2002;11:36:45;;;;
05/01/2002;11:36:50;;;;
05/01/2002;11:36:55;;;;
05/01/2002;11:37:00;;;;
05/01/2002;11:37:05;;;;
05/01/2002;11:37:10;;;;
05/01/2002;11:37:15;;;;
05/01/2002;11:37:20;;;;
05/01/2002;11:37:25;;;;
05/01/2002;11:37:30;;;;
05/01/2002;11:37:35;;;;
05/01/2002;11:37:40;;;;
05/01/2002;11:37:45;;;;
05/01/2002;11:37:50;;;;
05/01/2002;11:37:55;;;;
05/01/2002;11:38:00;;;;
05/01/2002;11:38:05;;;;
05/01/2002;11:38:10;;;;
05/01/2002;11:38:15;;;;
05/01/2002;11:38:20;;;;
05/01/2002;11:38:25;;;;
05/01/2002;11:38:30;;;;
05/01/2002;11:38:35;;;;
05/01/2002;11:38:40;;;;
05/01/2002;11:38:45;;;;
05/01/2002;11:38:50;;;;
05/01/2002;11:38:55;;;;
05/01/2002;11:39:00;;;;
05/01/2002;11:39:05;;;;
05/01/2002;11:39:10;;;;
05/01/2002;11:39:15;;;;
05/01/2002;11:39:20;;;;
05/01/2002;11:39:25;;;;
05/01/2002;11:39:30;;;;
05/01/2002;11:39:35;;;;
05/01/2002;11:39:40;;;;
05/01/2002;11:39:45;2;212;17.6;0.24
05/01/2002;11:39:50;0;214;17.3;0
05/01/2002;11:39:55;-3;206;16.8;0.86
05/01/2002;11:40:00;-3;198;16.3;0.68
05/01/2002;11:40:05;-2;196;15.8;1.46
05/01/2002;11:40:10;-4;196;15.3;0.36
05/01/2002;11:40:15;-3;206;14.9;1.36
05/01/2002;11:40:20;-4;208;14.5;2.12
05/01/2002;11:40:25;-3;208;14.1;2.76
05/01/2002;11:40:30;-3;187;13.8;1.12
05/01/2002;11:40:35;-4;213;13.5;2.82
05/01/2002;11:40:40;-3;211;13.2;0.4
05/01/2002;11:40:45;-3;207;12.9;1.52
05/01/2002;11:40:50;-2;210;12.7;2.1
05/01/2002;11:40:55;-1;204;12.4;1.44
05/01/2002;11:41:00;-2;208;12.2;0.46
05/01/2002;11:41:05;-2;192;12;1.94
05/01/2002;11:41:10;-1;203;11.8;2.5
05/01/2002;11:41:15;-2;208;11.6;1.7
05/01/2002;11:41:20;-2;201;11.4;1.18
05/01/2002;11:41:25;-2;214;11.2;0.06
05/01/2002;11:41:30;-1;218;11.1;0
05/01/2002;11:41:35;-1;195;11;0.9
05/01/2002;11:41:40;-1;212;10.8;0.16
05/01/2002;11:41:45;-2;197;10.7;0.66
05/01/2002;11:41:50;-1;212;10.5;0.78
05/01/2002;11:41:55;-1;189;10.4;0.36
05/01/2002;11:42:00;-1;217;10.3;0.9
05/01/2002;11:42:05;-1;211;10.2;2.68
05/01/2002;11:42:10;4;200;10;2.56
05/01/2002;11:42:15;3;194;9.9;1.52
05/01/2002;11:42:20;0;198;9.8;0.98
05/01/2002;11:42:25;-1;191;9.7;0.46
05/01/2002;11:42:30;-1;216;9.6;0.64
05/01/2002;11:42:35;-1;217;9.5;0
05/01/2002;11:42:40;-1;194;9.4;0
05/01/2002;11:42:45;-1;216;9.3;0
05/01/2002;11:42:50;0;203;9.2;0
05/01/2002;11:42:55;0;205;9.2;0.5
05/01/2002;11:43:00;-1;216;9.1;0
05/01/2002;11:43:05;-1;211;9;0.04
05/01/2002;11:43:10;0;193;9;0.04
05/01/2002;11:43:15;0;194;8.9;0.64
05/01/2002;11:43:20;0;188;8.8;0.78
05/01/2002;11:43:25;0;205;8.7;1.44
05/01/2002;11:43:30;0;208;8.7;0.06
05/01/2002;11:43:35;0;205;8.6;1.3
05/01/2002;11:43:40;0;202;8.5;0.28
05/01/2002;11:43:45;2;196;8.5;0.1
05/01/2002;11:43:50;1;206;8.4;0.5
05/01/2002;11:43:55;1;210;8.4;1.72
05/01/2002;11:44:00;3;187;8.3;0.74
05/01/2002;11:44:05;1;205;8.3;1.9
05/01/2002;11:44:10;0;187;8.2;0.64
05/01/2002;11:44:15;0;217;8.1;0.28
05/01/2002;11:44:20;0;214;8.1;0.72
05/01/2002;11:44:25;0;216;8.1;0
05/01/2002;11:44:30;1;190;8;0.62
05/01/2002;11:44:35;0;200;8;0
05/01/2002;11:44:40;0;213;8;0
05/01/2002;11:44:45;0;215;7.9;0
05/01/2002;11:44:50;0;199;7.9;2.04
05/01/2002;11:44:55;0;213;7.8;0.62
05/01/2002;11:45:00;0;196;7.8;0.68
05/01/2002;11:45:05;1;193;7.7;0.66
05/01/2002;11:45:10;0;215;7.7;1.02
05/01/2002;11:45:15;1;212;7.7;0.04
05/01/2002;11:45:20;2;204;7.6;1.22
05/01/2002;11:45:25;0;214;7.6;0.1
05/01/2002;11:45:30;3;207;7.6;0.32
05/01/2002;11:45:35;2;206;7.5;2.2
05/01/2002;11:45:40;0;205;7.5;1.74
05/01/2002;11:45:45;1;212;7.4;0.2
05/01/2002;11:45:50;1;210;7.4;0.04
05/01/2002;11:45:55;1;190;7.4;0.44
05/01/2002;11:46:00;1;210;7.4;0.56
05/01/2002;11:46:05;1;194;7.3;0.26
05/01/2002;11:46:10;1;195;7.3;0.38
05/01/2002;11:46:15;4;209;7.3;1.82
05/01/2002;11:46:20;2;190;7.2;0.52
05/01/2002;11:46:25;1;204;7.2;0.06
05/01/2002;11:46:30;1;207;7.2;0.44
05/01/2002;11:46:35;2;203;7.1;0.56
05/01/2002;11:46:40;1;212;7.1;1.6
05/01/2002;11:46:45;1;212;7.1;0.08
05/01/2002;11:46:50;2;210;7.1;0.52
05/01/2002;11:46:55;2;200;7;0.34
05/01/2002;11:47:00;3;193;7;0.52
05/01/2002;11:47:05;4;209;7;0.04
05/01/2002;11:47:10;3;204;7;0.08
05/01/2002;11:47:15;1;188;7;1.02
05/01/2002;11:47:20;2;196;6.9;0.42
05/01/2002;11:47:25;1;195;6.9;0
05/01/2002;11:47:30;1;207;6.9;0
05/01/2002;11:47:35;;;;
05/01/2002;11:47:40;1;211;6.9;0
05/01/2002;11:47:45;2;202;6.9;0.76
05/01/2002;11:47:50;1;201;6.8;0.94
05/01/2002;11:47:55;1;207;6.8;1.02
05/01/2002;11:48:00;1;198;6.8;0.84
05/01/2002;11:48:05;1;206;6.8;0.06
05/01/2002;11:48:10;3;201;6.8;2.42
05/01/2002;11:48:15;2;209;6.7;1.56
05/01/2002;11:48:20;1;199;6.7;0.28
05/01/2002;11:48:25;1;210;6.7;0.28
05/01/2002;11:48:30;1;203;6.7;1.34
05/01/2002;11:48:35;1;217;6.7;0.04
05/01/2002;11:48:40;4;196;6.7;1.68
05/01/2002;11:48:45;3;195;6.6;0.3
05/01/2002;11:48:50;4;190;6.6;1.04
05/01/2002;11:48:55;1;217;6.6;0.42
05/01/2002;11:49:00;1;211;6.6;0.56
05/01/2002;11:49:05;1;213;6.6;2.74
05/01/2002;11:49:10;1;214;6.6;0.94
05/01/2002;11:49:15;1;213;6.6;0.34
05/01/2002;11:49:20;1;210;6.5;1.22
05/01/2002;11:49:25;1;210;6.5;0
05/01/2002;11:49:30;1;215;6.5;0.18
05/01/2002;11:49:35;1;191;6.5;1.22
05/01/2002;11:49:40;1;214;6.5;0.38
05/01/2002;11:49:45;2;199;6.5;1.56
05/01/2002;11:49:50;1;217;6.5;0.08
05/01/2002;11:49:55;1;208;6.5;0
05/01/2002;11:50:00;2;213;6.5;0.58
05/01/2002;11:50:05;1;214;6.4;1.64
05/01/2002;11:50:10;1;209;6.4;2.04
05/01/2002;11:50:15;1;211;6.4;1.9
05/01/2002;11:50:20;1;211;6.4;0.3
05/01/2002;11:50:25;2;204;6.4;2.56
05/01/2002;11:50:30;2;201;6.4;1.24
05/01/2002;11:50:35;2;210;6.4;1.56
05/01/2002;11:50:40;2;201;6.3;3.54
05/01/2002;11:50:45;1;213;6.3;3.98
05/01/2002;11:50:50;2;203;6.3;1.7
05/01/2002;11:50:55;2;195;6.3;1.48
05/01/2002;11:51:00;1;214;6.3;2.88
05/01/2002;11:51:05;2;195;6.3;0.3
05/01/2002;11:51:10;2;192;6.3;1.8
05/01/2002;11:51:15;3;208;6.3;2.88
05/01/2002;11:51:20;4;208;6.2;2.44
05/01/2002;11:51:25;3;207;6.2;2.44
05/01/2002;11:51:30;5;197;6.2;2.5
05/01/2002;11:51:35;2;205;6.2;1.86
05/01/2002;11:51:40;3;206;6.2;1.68
05/01/2002;11:51:45;4;203;6.2;2.96
05/01/2002;11:51:50;3;208;6.2;2.8
05/01/2002;11:51:55;2;203;6.2;0.74
05/01/2002;11:52:00;2;206;6.2;2.58
05/01/2002;11:52:05;2;201;6.2;1.08
05/01/2002;11:52:10;2;195;6.1;2.64
05/01/2002;11:52:15;2;198;6.1;1.2
05/01/2002;11:52:20;2;212;6.1;1.06
05/01/2002;11:52:25;5;206;6.1;2.22
05/01/2002;11:52:30;3;189;6.1;1.44
05/01/2002;11:52:35;1;211;6.1;1.96
05/01/2002;11:52:40;2;214;6.1;1.82
05/01/2002;11:52:45;2;193;6.1;1.16
05/01/2002;11:52:50;1;198;6.1;0.96
05/01/2002;11:52:55;2;215;6.1;0.62
05/01/2002;11:53:00;2;209;6.1;0.32
05/01/2002;11:53:05;3;207;6.1;0.96
05/01/2002;11:53:10;1;195;6.1;1.8
05/01/2002;11:53:15;2;209;6;0.4
05/01/2002;11:53:20;2;214;6;2.36
05/01/2002;11:53:25;2;215;6;0.96
05/01/2002;11:53:30;2;212;6;0.84
05/01/2002;11:53:35;1;206;6;3.5
05/01/2002;11:53:40;2;205;6;2.24
05/01/2002;11:53:45;2;214;6;0.96
05/01/2002;11:53:50;2;213;6;0.34
05/01/2002;11:53:55;2;214;6;1.82
05/01/2002;11:54:00;2;205;6;2.28
05/01/2002;11:54:05;1;207;6;2.92
05/01/2002;11:54:10;4;189;6;1.8
05/01/2002;11:54:15;4;203;6;1.82
05/01/2002;11:54:20;2;206;6;1.68
05/01/2002;11:54:25;3;208;5.9;0.86
05/01/2002;11:54:30;2;192;5.9;1.66
05/01/2002;11:54:35;2;209;5.9;0.44
05/01/2002;11:54:40;1;193;5.9;0.92
05/01/2002;11:54:45;1;209;5.9;0.34
05/01/2002;11:54:50;;;;
05/01/2002;11:54:55;3;192;5.9;0.12
05/01/2002;11:55:00;2;193;5.9;0
05/01/2002;11:55:05;1;193;5.9;0.44
05/01/2002;11:55:10;2;194;5.9;0.46
05/01/2002;11:55:15;2;203;5.9;0.48
05/01/2002;11:55:20;2;197;5.9;0.12
05/01/2002;11:55:25;1;202;5.9;0.08
05/01/2002;11:55:30;3;203;5.9;0.1
05/01/2002;11:55:35;2;199;5.9;0
05/01/2002;11:55:40;1;216;5.9;0
05/01/2002;11:55:45;2;203;5.9;0
05/01/2002;11:55:50;2;214;5.9;0
05/01/2002;11:55:55;1;210;5.9;0
05/01/2002;11:56:00;2;193;5.9;0
05/01/2002;11:56:05;2;207;5.9;0
05/01/2002;11:56:10;3;207;5.9;1.14
05/01/2002;11:56:15;4;184;5.9;1.36
05/01/2002;11:56:20;2;205;5.9;0.86
05/01/2002;11:56:25;3;192;5.9;1.8
05/01/2002;11:56:30;3;186;5.9;1.12
05/01/2002;11:56:35;3;186;5.9;0.82
05/01/2002;11:56:40;2;208;5.9;1.5
05/01/2002;11:56:45;1;218;5.9;2.8
05/01/2002;11:56:50;3;189;5.9;1.58
05/01/2002;11:56:55;3;203;5.9;1.38
05/01/2002;11:57:00;3;209;5.9;0.64
05/01/2002;11:57:05;3;197;5.9;0.82
05/01/2002;11:57:10;3;198;5.9;0.84
05/01/2002;11:57:15;1;210;5.8;0.38
05/01/2002;11:57:20;1;212;5.8;0.12
05/01/2002;11:57:25;2;194;5.9;0
05/01/2002;11:57:30;;;;
05/01/2002;11:57:35;2;192;5.9;0.1
05/01/2002;11:57:40;2;197;5.9;0.1
05/01/2002;11:57:45;2;194;5.9;0
05/01/2002;11:57:50;2;207;5.9;0
05/01/2002;11:57:55;3;187;5.9;0.9
05/01/2002;11:58:00;1;198;5.9;0.46
05/01/2002;11:58:05;4;180;5.9;1.12
05/01/2002;11:58:10;3;181;5.9;0.4
05/01/2002;11:58:15;3;183;5.9;0.82
05/01/2002;11:58:20;4;198;5.9;1.04
05/01/2002;11:58:25;3;205;5.8;1.08
05/01/2002;11:58:30;5;197;5.9;1.1
05/01/2002;11:58:35;2;204;5.9;1
05/01/2002;11:58:40;5;183;5.9;1.1
05/01/2002;11:58:45;4;200;5.9;0.98
05/01/2002;11:58:50;2;207;5.9;1.1
05/01/2002;11:58:55;5;183;5.9;0.7
05/01/2002;11:59:00;4;204;5.8;1.7
05/01/2002;11:59:05;6;199;5.9;0
05/01/2002;11:59:10;3;198;5.9;1.76
05/01/2002;11:59:15;5;201;5.8;1.8
05/01/2002;11:59:20;4;185;5.9;1.04
05/01/2002;11:59:25;4;209;5.9;1.54
05/01/2002;11:59:30;2;208;5.9;1.72
05/01/2002;11:59:35;5;204;5.9;1.48
05/01/2002;11:59:40;3;213;5.9;1.56
05/01/2002;11:59:45;2;220;5.9;0.72
05/01/2002;11:59:50;4;210;5.9;1.74
05/01/2002;11:59:55;4;209;5.9;1.12
05/01/2002;12:00:00;5;207;5.9;1.4
05/01/2002;12:00:05;4;196;5.8;1.64
05/01/2002;12:00:10;4;209;5.8;1.34
05/01/2002;12:00:15;2;220;5.8;1
05/01/2002;12:00:20;2;203;5.8;0
05/01/2002;12:00:25;1;216;5.8;0.46
05/01/2002;12:00:30;2;175;5.8;0
05/01/2002;12:00:35;2;210;5.8;0
05/01/2002;12:00:40;4;211;5.9;0.92
05/01/2002;12:00:45;3;210;5.9;1.78
05/01/2002;12:00:50;5;188;5.9;0.56
05/01/2002;12:00:55;4;210;5.8;1.08
05/01/2002;12:01:00;3;209;5.8;1.3
05/01/2002;12:01:05;4;202;5.8;0.82
05/01/2002;12:01:10;2;191;5.8;1.1
05/01/2002;12:01:15;3;196;5.8;0.94
05/01/2002;12:01:20;4;209;5.8;1.32
05/01/2002;12:01:25;3;207;5.8;1.4
05/01/2002;12:01:30;3;190;5.8;0.92
05/01/2002;12:01:35;3;203;5.8;1.66
05/01/2002;12:01:40;3;206;5.8;1.12
05/01/2002;12:01:45;2;197;5.8;0.8
05/01/2002;12:01:50;3;201;5.8;1.08
05/01/2002;12:01:55;1;216;5.8;0.9
05/01/2002;12:02:00;1;206;5.8;0.52
05/01/2002;12:02:05;2;194;5.8;0
05/01/2002;12:02:10;2;199;5.8;0.06
05/01/2002;12:02:15;2;207;5.8;0.28
05/01/2002;12:02:20;2;216;5.8;0.08
05/01/2002;12:02:25;2;221;5.8;0
05/01/2002;12:02:30;2;214;5.8;0.04
05/01/2002;12:02:35;2;211;5.8;0.46
05/01/2002;12:02:40;4;190;5.8;0.76
05/01/2002;12:02:45;4;205;5.8;0.66
05/01/2002;12:02:50;2;214;5.8;0.74
05/01/2002;12:02:55;3;210;5.8;0.84
05/01/2002;12:03:00;2;210;5.8;1.86
05/01/2002;12:03:05;5;203;5.8;1.08
05/01/2002;12:03:10;3;203;5.8;1
05/01/2002;12:03:15;4;205;5.8;1.36
05/01/2002;12:03:20;2;222;5.8;0.04
05/01/2002;12:03:25;6;201;5.8;1.42
05/01/2002;12:03:30;4;209;5.8;0.64
05/01/2002;12:03:35;4;202;5.8;1.62
05/01/2002;12:03:40;4;208;5.8;0.86
05/01/2002;12:03:45;3;193;5.8;1.14
05/01/2002;12:03:50;2;207;5.8;0.46
05/01/2002;12:03:55;2;209;5.8;0.98
05/01/2002;12:04:00;3;209;5.8;0.82
05/01/2002;12:04:05;4;204;5.8;0.96
05/01/2002;12:04:10;4;203;5.8;1.08
05/01/2002;12:04:15;5;198;5.8;1.22
05/01/2002;12:04:20;4;203;5.8;1.38
05/01/2002;12:04:25;4;201;5.8;1.3
05/01/2002;12:04:30;2;201;5.8;0.98
05/01/2002;12:04:35;4;200;5.8;1.04
05/01/2002;12:04:40;2;196;5.8;1.1
05/01/2002;12:04:45;2;214;5.8;0
05/01/2002;12:04:50;2;207;5.8;0.6
05/01/2002;12:04:55;2;214;5.8;0
05/01/2002;12:05:00;2;207;5.8;0
05/01/2002;12:05:05;2;215;5.8;0.12
